ISTILAH	KEPANJANGAN	PENGERTIAN	DEPARTEMEN	CARA PERHITUNGAN DAN KETERANGAN LAINNYA ( JIKA ADA)																			
Feedback		Proses evaluasi yang dilakukan oleh mentor dan peserta program setelah selesai melalui suatu tahap program	HC OD																				
SAP	Satria Antaran Prima	Salah satu perusahaan ekspedisi yang menjadi mitra ACC	HC OD																				
Splitting		Proses pemisahan dokumen kontrak berdasarkan fungsinya	Underwriting																				
F9PD++		Merupakan account yang overdue dibawah 30 hari namun telah mendapat flag kompre dikarenakan statusnya INV	Underwriting																				
MC	Meet Customer	Kode penulisan hasil survey yang menandakan surveyor bertemu dengan customer	Underwriting																				
C&C	Couching & Clinic	Tools improvement pada departement-department yang ada di ACC	Underwriting																				
LB	Luas Bangunan	Kode penulisan pada cremo untuk menyatakan luas bangunan rumah customer	Underwriting																				
LT	Luas Tanah	Kode penulisan pada cremo untuk menyatakan luas tanah rumah customer	Underwriting																				
LT	Lama Tinggal	Kode penulisan pada cremi untuk menyatakan lama tinggal customer	Underwriting																				
Appl log		Suatu data set pada AOL yang memberikan keterangan proses demi proses yang telah dilalui oleh suatu aplikasi dengan detail waktunya	Underwriting																				
State		Suatu kolom pada appl log yang menyatakan tahap yang dilalui suatu aplikasi	Underwriting																				
D	Done	Kode pada hasil survey disistem yang menyatakan proses survey untuk suatu order survey telah selesai dilakukan	Underwriting																				
C	Close	Kode pada hasil survey disistem yang menyatakan proses survey untuk suatu order survey belum/sedang dilakukan	Underwriting																				
Balancing Survey		Proses membagi bucket order survey kepada para surveyor jika didapati kejadian khusus seperti salah satu surveyor sedang tidak bertugas	Surveyor																				
SJM	Setia Jaya Mobilindo	Salah satu dealer indirect rekanan ACC	Marketing																				
Kategori I		Segala kendaraan dengan GVW s/d 5 ton	RISK MIS																				
Kategori II		Segala jenis truck yang memiliki GVW 5 s/d 10 ton	RISK MIS																				
Kategori III		Segala jenis angkutan yang memiliki GVW 10 s/d 24 ton dan HP 215 s/d 260 PS	RISK MIS																				
Kategori IV		Segala jenis mobil barang dengan GVW s/d 5 ton dengan roda penggerak 4x4	RISK MIS																				
Kategori V		Segala jenis angkutan yang memiliki GVW diatas 24 ton dengan HP  diatas 330 PS	RISK MIS																				
Comprehensive 		Asuransi kendaraan kombinasi antara All risk dengan Total Lost Only (TLO)	SALES																				
TLO 	Total Lost Only 	Pertanggungan kerugian untuk unit hilang 	SALES																				
GMPU 	Grandmax Pick Up 	Pertanggungan kerugian untuk unit rusak 	umum																				
IF 	Inventory Financing 	Kerjasama antara Showroom (used car) dengan ACC dengan cara ACC membiayai Showroom untuk 1 unit obil dan harus menahan BPKB	SALES																				
Mapping 		Proses untuk mengetahui flow kerja suatu fungsi di perusahaan 	HC OD																				
Ocean 		Kondisi persaingan bisnis suatu perusahaan 	SALES																				
Blue Ocean 		Tidak ada persaingan bisnis pada bidang yang sama 	SALES																				
Purple Ocean 		persaingan bisnis sedang 	SALES																				
Red Ocean 		persaingan bisnis sangat ketat 	SALES																				
Dealer Aktif 		Istilah untuk showroom used car yang aktif terus memberikan kontribusi ke ACC 	SALES																				
DP Gross 	istilah untuk used car 	total Down Payment yang harus dibayarkan 	SALES																				
Manpower 		Untuk menggantikan istilah Tenaga Kerja 	HC OD																				
BTMK 	Brand Type Merk Kind 	Approval aplikasi used car berdasarkan brand. Kind adalah : jenisnya misal sedan, minibus atau jeep. 	SALES																				
Juklak 		Sebuah panduan tentang suatu produk (guidance). Misal Juklak Paket Mantap (artinya 	SALES																				
Base Master 		Pusat data untuk bucket survey 	Underwriting																				
L5MV 	Last 5 Month Valid 	data penjualan 5 bulan terakhir 	Underwriting																				
YTD 	Year To Date 	Data pada tanggal dan bulan yang sama di tahun sebelumnya. 	Underwriting																				
APPI 	Asosiasi Perusahaan Pembiayaan Indonesia 	Sebuah Asosiasi yang menaungi beberapa perusahaan pembiayaan seluruh indonesia	SALES																				
Cluster		Pembagian wilayah handling showroom used car berdasarkan wilayah tertentu 	SALES																				
TTS 	Time to Survey 	batas waktu untuk melakukan dan memberikan keputusan terkait order survey dari sales	Surveyor																				
CSI Index 		Indeks kepuasan customer 	Service																				
MOT 	Moment of Truth 	Moment ketika berinteraksi dengan customer secara lansgung dan memeproleh fata atau data langsung dari customer 	Service																				
Competitor Benchmark 		melakukan analisa perbandingan product dan price dari perusahaan pembiayaan lain (Kompetitor)	Marketing																				
Dealer Platinum 		Istilah untuk showroom used car yang berkontribusi >=15 unit tiap bulan 	SALES																				
Dealer gold 		Istilah untuk showroom used car yang berkontribusi 10 - 14 unit tiap bulan 	SALES																				
Dealer On Off 		Status dealer untuk used car dilihat dari kontribusi ke ACC tiap tiga bulan ( contoh Bulan Maret 1 unit - April  0 unit - Mei 1 unit)	SALES																				
Trade In 	Istilah untuk metode Balloon payment	unit yang belum lunas tetapi dijual dan harga jual mobil tersebut digunakan untuk menutup hutang kredit, dan sisanya untuk DP unit yang baru 	SALES																				
Passenger Car 		Unit yang diperuntukkan untuk pribadi (mobilitas pribadi) 	umum																				
Commercial Car 		Unit diperuntukkan usaha 	umum																				
Cash Flow 		istilah untuk customer yang mengalami overdue (telat bayar) dengan alasan kondisi keuangan yang hanya bisa membayar pada tanggal tertentu setiap bulannya	AR																				
Document Printing 		proses cetak kontrak yang dilakukan setelah mendapat approval dari dua level atau lebih dimana sebelum mendapat persetujuan commite credit, data tidak akan mengalir ke state DP	Underwriting																				
Bast Date		kolom doc receive & go live yang diisi dengan tanggal BAST/DO Delear	Underwriting																				
Billing Date		kolom doc receive & go live yang diisi dengan valid seluruh dokumen lengkap dan benar	Underwriting																				
Instalment Due Date		kolom doc receive & go live  yang diisi dengan tanggal jatuh tempo Angsuran Pertama	Underwriting																				
Agreement Sign Place		kolom doc receive & go live  yang diisi dengan tempat pendandatanganan kontrak	Underwriting																				
To Be Pay by Cust.		perincian DP + Ammount Installment	Underwriting																				
State		Jenjang Dokumen	umum																				
P		Jenis Customer perorangan	umum																				
U		Jenis Customer Badan Usaha/ Company	umum																				
ID Card Borrower		entry data borrower berdasarkan KTP Borrower	Underwriting																				
M (Marital Status)		Marital Status Menikah	Sales ( SUW)																				
s (Marital Status)		marital status duda	Sales ( SUW)																				
W (Marital Status)		Marital Status Janda	Sales ( SUW)																				
U (Marital Status)		Marital Status Lajang	Sales ( SUW)																				
JOB CODE		kode pekerjaan yang harus diisi dengan memilih f5 pada Borrower- Personal Data Entry	Sales ( SUW)																				
Mailing Addr		Alamat surat menyurat ( R: Residence, O: Office)	Underwriting																				
Type Usage		kegunaan atau tujuan pemakaian kendaraan	Underwriting																				
CA	Cover Amount	Harga OTR yang mengcover jumlah pertanggungan asuransi	Underwriting																				
Base Master		bagian udw untuk order survey	Underwriting																				
Date Expired		kolom ENTRY BPKB yang diisi dengan tanggal akhir masa berlaku STNK	Underwriting																				
BMTK	Brand Merk Type Kind		sales																				
platinum dealer		showroom used car yang memberikan kontribusi ke ACC > 15 Mobil 	sales																				
KIMS	Kartu Ijin Menetap Sementara	data yang diperlukan jika cust WNA	Underwriting																				
Survey Result Entry		menu AOL Surveyor yang berguna untuk menginput hasil survey oleh surveyor	Surveyor																				
B (state survey)		Belum melakukan order survey	Surveyor																				
C (State survey)		Sudah order survey	Surveyor																				
D (State Survey)		Hasil survey sudah diinput	Surveyor																				
GMPU	Grand Max Pick Up	salah satu type mobil daihatsu	sales																				
Yearly Insurance		Cover Asuransi dalam Tahun	sales																				
Admin Fee		Biaya Admin yang dibayarkan oleh cust.	sales																				
SARHO	Senior ARHO		AR																				
JARHO	Junior ARHO		AR																				
Derek		Situasi yang terjadi apabila ada proses penarikan dan cust tidak mau menyerahkan kunci atau mobil tidak bisa digunakan	AR																				
Present Co	Present Company	Perusahaan tempat cust bekerja diwaktu berjalan	AR																				
TTS	Tanda Terima Sementara	Kwitansi yang dibawa oleh ARHO saat melakukan kunjungan 	AR																				
NIK	Nomor Induk Karyawan		umum																				
KTP	Kartu Tanda Penduduk	Salah satu persyaratan pengajuan kredit	umum																				
KK	Kartu Keluarga	Salah satu persyaratan pengajuan kredit	umum																				
Cust	Customer	Semua pihak yang mengajukan kredit	umum																				
Autodebit		Penarikan uang online secara otomatis	umum																				
Direct Payment		Pembayaran secara langsung	umum																				
Walk-in		Cust melakukan pembayaran langsung ke kantor	Service																				
Ramayana		salah satu asuransi	Underwriting																				
Kode Pos			umum																				
CD COND		kode kondisi yang ada di menu AOL MASTER	AOL COLL Menu																				
BET	Between	diantara	AOL COLL Menu																				
EQU	Equal	sama dengan	AOL COLL Menu																				
GTE	Greater or equal	lebih besar atau sama dengan	AOL COLL Menu																				
NBE	Not between	bukan diantara	AOL COLL Menu																				
NE	Not equal	tidak sama dengan	AOL COLL Menu																				
Parent Group		kode grup kerja (KODE WORKGROUP). Tekan F5/double click untuk menampilkan tabel bantuan	AOL COLL Menu																				
Level		merupakan level dari workgroup, makin besar angkanya makin rendah levelnya	AOL COLL Menu																				
Component Details		Berisi detail aksesoris dan kelengkapan mobil beserta kondisinya	AOL COLL Menu																				
Query Surat Tugas		untuk melihat daftar surat tugas penarikan (internal) yang telah dikeluarkan oleh koordinator	AOL COLL Menu																				
Query Surat Kuasa		untuk melihat daftar surat kuasa penarikan (PEOJF) yang telah dikeluarkan oleh PAO untuk periode tertentu	AOL COLL Menu																				
REPA	Reposses Action	Cust yang bermasalah dan sedang dalam penanganan	AOL COLL Menu																				
Notepad		berisi history penanganan tambahan dari collector dan coordinator	AOL COLL Menu																				
Detail Asset		berisi data kendaraan dan asuransi customer	AOL COLL Menu																				
Detail Kontrak		berisi data kontrak	AOL COLL Menu																				
Time Action		tanggal dan jam kapan suatu kontrak masuk ke bucket officer	AOL COLL Menu																				
Size dealer - Mega		Kategori dealer used car yang stock mobil bekasnya lebih dari sama dengan 25 unit	Sales																				
Size dealer - Big		Kategori dealer used car yang stock mobil bekasnya antara 15 sampai 24 unit	Sales																				
Size dealer - Medium		Kategori dealer used car yang stock mobil bekasnya antara 7 sampai 14 unit	Sales																				
Size dealer - Small		Kategori dealer used car yang stock mobil bekasnya antara 1 sampai 6 unit	Sales																				
Cash in Transit		Angsuran yang dititipkan di brankas ARMH direkap di dalam bentuk excel setiap kali ada penitipan dan ditandatangani oleh ARMH-ARHH	AR																				
ADM	Astra Daihatsu Motor	Agen tunggal mobil Daihatsu di Indonesia	umum																				
Profit		Selisih bunga dan Cost of Fund	Sales																				
IBID-Balai Lelang Serasi		Balai lelang kendaraan bekas (motor, mobil, alat berat) yang merupakan anak perusahaan PT. Serasi Autoraya	AR																				
Debitor		Pihak penerima fasilitas pembiayaan ACC	umum																				
Deskcoll 31-90		Aktivitas reminder account overdue 31-90 by phone	AR																				
Deskcoll POWO		Aktivitas reminder account overdue saldo kecil (20-30 Juta)	AR																				
Field Visit Tracker		ARHH tandem kunjungan penagihan dengan ARHO	AR																				
Account Handling ARHO		Jumlah customer di dalam bucket ARHO (8-30 hari)	AR																				
Account Handling ARRO		Jumlah customer di dalam bucket ARRO (31-60 hari)	AR																				
BT	Biaya Tarik	Biaya yang dikeluarkan untuk PEOJF mengeksekusi unit	AR	Penentuan BT berdasarkan kasus dengan melihat Collection Details																			
Metode Dial		Pilihan metode reminding account overdue by phone, terbagi menjadi tiga yaitu Manual, Semi Automatic, & Predictive Dials	AR																				
Manual Dial		Metode Dial yang dilakukan DC Agent untuk reminding account overdue dengan menekan sendiri nomor telepon yang dituju	AR																				
Simulasi Denda		Menu simulasi perhitungan denda pada sistem cust. Service yang digunakan untuk menghitung jumlah angsuran & denda yang harus dibayar per tanggal tertentu	Service																				
Authorize by Coordinator		Menu otorisasi oleh koordinator	AR																				
Repossesion Action		Otorisasi oleh koordinator untuk membuat Surat Tarik	AR																				
PDC Details		Menu pada AOL yang berisikan data PDC Customer saat ada pembayaran dengan PDC	Service																				
Simulasi Prepayment		Menu simulasi perhitungan prepayment saat customer hendak melakukan percepatan pelunasan dan meminta jumlah yang harus dibayar per tanggal tertentu	Service																				
Inventory Calc. & Posting		Menu AOL yang berfungsi untuk melakukan entri perhitungan inventori unit tarikan	AR																				
Deskcoll Agent		Officer-officer yang bertugas melakukan reminding terhadap account overdue by phone	AR																				
Broken Promise		Janji Bayar yang meleset	AR																				
Reposses Letter		Surat Tarik yang telah diotorisasi oleh ARMH	AR																				
Detail Pelanggan		Menu pada AOL yang berisikan data customer (KTP, alamat rumah, alamat kantor)	umum																				
Ormas		Organisasi Masyarakat yang dibentuk secara sukarela oleh masyarakat atas kesamaan kebutuhan dan tujuan	umum																				
KM saat ditarik		Total kilometer unit saat ditarik dari customer	AR																				
KM saat di Pool		Total kilometer unit saat unit sudah berada di pool	AR																				
Buku KIR		Hasil dari pemeriksaan bagian-bagian kendaraan bermotor guna memenuhi syarat teknis dan layak jalan. Buku KIR merupakan salah satu kelengkapan yang harus dipenuhi saat unit mobil penumpang ditarik ke pool. Contoh: Gran Max	AR																				
Target 		Persentase (%)ataupun ammount (Juta/M) account-account overdue yang boleh tersisa/tidak terselesaikan pada saat Closing	AR																				
Payment Channel		Cara pembayaran angsuran ACC, terdiri dari Tunai, ATM, Mobile Banking, Internet Banking, Auto Debet Permata, Kantor Pos, Alfamart, Giro/PDC	Service																				

